neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive;predictive biomarker for target?
0;320;0;1;0;0;0;0;22;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.300277;6504.604944;0.075911;5572.768168;24.845034;307930.868;0;0;1.719448;104769.6459;1;0;1;1;1
0;56;0;1;0;0;0;1;22;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;6;0;0;3;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0.300277;6504.604944;2.846163;6183.362211;24.845034;307930.868;0;0;1.719448;104769.6459;1;1;1;1;1
0;330;0;1;0;0;0;0;13;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0.001371;7745.244079;3.372423;1093.283332;0.668514;195725.6435;0;0;0.942425;284291.8298;1;1;1;1;1
0;313;1;1;1;0;0;0;8;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.001298;13838.37657;0.000461;1190;86.282306;147576.106;4.913811;4164.090012;21.209909;918468.8194;0.055864;51200.13042;1;1;1;1;1
0;388;1;0;0;0;0;0;22;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.706151;1445.424072;0.300277;6504.604944;0;0;24.845034;307930.868;0;0;1.719448;104769.6459;1;0;0;0;0
0;383;0;1;0;0;0;0;13;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001371;7745.244079;0.01359;5085.146067;0.668514;195725.6435;0;0;0.942425;284291.8298;1;1;1;1;0
0;341;0;1;0;0;0;0;13;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001371;7745.244079;6.644966;11794.76001;0.668514;195725.6435;0;0;0.942425;284291.8298;0;0;0;0;0
0;264;0;1;0;0;1;0;13;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.001371;7745.244079;0.767858;763.634222;0.668514;195725.6435;0;0;0.942425;284291.8298;1;0;1;1;0
0;323;0;1;0;0;0;0;13;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.001371;7745.244079;0.000005;0;0.668514;195725.6435;0;0;0.942425;284291.8298;1;0;0;0;0
0;381;0;1;0;0;0;0;13;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001371;7745.244079;0.000005;0;0.668514;195725.6435;0;0;0.942425;284291.8298;1;0;0;1;0
