neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive
1;153;1;1;1;0.1106;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.2916;14633.123;0.300277;6504.604944;13.233115;51356.37315;24.845034;307930.868;0.015888;19047.1605;1.719448;104769.6459;1;1;1;0
1;78;1;1;1;0.027;0;1;22;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000013;8.005083;0.300277;6504.604944;0.229134;790.841148;24.845034;307930.868;0.001291;1238.811485;1.719448;104769.6459;1;0;1;1
1;133;0;1;1;1;0;0;22;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;2;0;0;0;0;0;1;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0.300277;6504.604944;38.650917;80322.10555;24.845034;307930.868;0.259443;69466.68237;1.719448;104769.6459;1;1;1;1
1;132;1;1;1;0.3783;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;5;8;0;1;1;0;1;;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0.003038;508.292333;0.300277;6504.604944;42.873064;3929.696271;24.845034;307930.868;0.009519;17079.95886;1.719448;104769.6459;1;1;1;0
1;115;1;1;1;0.2971;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;9;0;0;2;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.184184;22018.13763;0.300277;6504.604944;130.857201;333991.4556;24.845034;307930.868;2.64786;1098316.382;1.719448;104769.6459;1;1;1;1
1;182;1;1;1;0.0688;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;17;0;0;7;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.015497;3109.02903;0.300277;6504.604944;3.429912;78503.01088;24.845034;307930.868;127.115487;3442580.642;1.719448;104769.6459;1;1;1;1
1;30;1;1;1;0.3546;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;3;0;0;0;0;0;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;4.59119;7997.306718;0.300277;6504.604944;3.685725;125349.5371;24.845034;307930.868;13.246918;763046.3714;1.719448;104769.6459;1;1;1;1
1;53;1;1;1;0.1483;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;19;0;0;6;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000363;2808.150597;0.300277;6504.604944;8.758269;16438.24326;24.845034;307930.868;0.13912;44637.15365;1.719448;104769.6459;1;0;1;0
1;42;1;1;1;0.0707;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;19;0;0;9;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.005456;4827.088831;0.300277;6504.604944;43.660291;89550.06219;24.845034;307930.868;0.159454;95399.07464;1.719448;104769.6459;1;0;1;1
1;47;1;1;1;0.1211;0;0;22;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;23;0;0;6;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000735;1510.02932;0.300277;6504.604944;29.131761;27720.7776;24.845034;307930.868;0.328734;131827.0082;1.719448;104769.6459;1;0;1;0
