neighbour UniProt;neighbour name - universal;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour DisProt IDP;neighbour DisProt disorder content;neighbour in AlphaFold;neighbour AlphaFold average pLLDT;neighbour AlphaFold disorder %;neighbour in IUPred;neighbour IUPred long score;neighbour IUPred long disorder %;neighbour IUPred short score;neighbour IUPred short disorder %;neighbour preclinical target;neighbour MCG target;target UniProt;target name - universal;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;target DisProt IDP;target DisProt disorder content;target AlphaFold average pLLDT;target AlphaFold disorder %;target IUPred long score;target IUPred long disorder %;target IUPred short score;target IUPred short disorder %;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;DisProt neighbour third partner - CSN;target third partner - CSN;DisProt neighbour third partner - SIGNOR;target third partner - SIGNOR;DisProt neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive;neighbour biomarker for target?
Q00535;CDK5;1;1;1;0;0;1;91.4416414;0;1;0.163;0;0.178;4.5;0;0;P00519;ABL1;1;1;1;1;0;1;1.5;63.12244709;47.76119403;0.498;45;0.415;40.5;1;1;1;1;1;1;1;0;1;4;7;1;3;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0.00351;1832.898953;0.300277;6504.604944;17.208762;153767.1852;24.845034;307930.868;0.339772;28553.03153;1.719448;104769.6459;1;1;1;1;0
P16333;NCK1;1;1;1;1;13.26;1;71.82703217;21.66280225;1;0.333;13.5;0.306;8;0;0;P00519;ABL1;1;1;1;1;0;1;1.5;63.12244709;47.76119403;0.498;45;0.415;40.5;1;1;1;1;1;1;0;0;1;3;0;0;2;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0.001654;737.562955;0.300277;6504.604944;0.064959;2339.957329;24.845034;307930.868;0.043965;14005.56908;1.719448;104769.6459;1;0;0;0;0
Q13153;PAK1;1;1;1;1;48.44;1;73.65448284;30.39492243;1;0.477;45.3;0.388;33.4;0;0;P00519;ABL1;1;1;1;1;0;1;1.5;63.12244709;47.76119403;0.498;45;0.415;40.5;1;1;1;1;1;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0.051793;9661.148266;0.300277;6504.604944;2.810283;162662.0056;24.845034;307930.868;0.647834;25788.8378;1.719448;104769.6459;1;1;1;1;0
P27348;14-3-3;1;1;1;0;0;1;93.98843201;3.547557841;1;0.268;4.1;0.246;7.8;1;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.217898;24527.1748;1.259501;2461.648852;8.137781;51550.04317;1.457216;9568.659873;0.009968;121479.0753;1;0;0;0;0
O14727;APAF1;1;1;1;1;8.33;1;85.25051605;1.335341365;1;0.141;0.6;0.132;0.6;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.163719;21209.51402;0.217898;24527.1748;1.427096;5051.980219;8.137781;51550.04317;0.011504;8795.059058;0.009968;121479.0753;1;0;1;1;0
Q92934;BAD;1;1;1;0;0;1;62.06990735;21.58828065;1;0.779;89.9;0.692;81.5;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;1;1;0;7;4;2;3;0;1;5;0;1;1;0;1;1;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0.194876;26559.60946;0.217898;24527.1748;3.987705;54166.25694;8.137781;51550.04317;0.002741;3861.844194;0.009968;121479.0753;0;0;0;0;0
Q16611;BAK1;1;1;1;1;16.59;1;81.5439748;1.572897762;1;0.272;22.7;0.278;25.1;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;1;1;0;8;3;6;2;0;0;4;0;2;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0.125309;713.613497;0.217898;24527.1748;7.603247;6524.552015;8.137781;51550.04317;0.000103;6692.220506;0.009968;121479.0753;1;1;1;1;0
P51572;BAP31;1;0;0;0;0;1;85.07446177;4.365482234;1;0.261;16.7;0.236;5.3;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.000189;72.794305;0.217898;24527.1748;0;0;8.137781;51550.04317;0;0;0.009968;121479.0753;1;0;0;0;0
Q07812;BAX;1;1;1;1;18.23;1;87.77255384;5.040322581;1;0.235;14.6;0.273;21.9;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;1;0;13;0;17;6;0;4;4;0;11;1;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0.378453;21031.78057;0.217898;24527.1748;0.279094;30076.92994;8.137781;51550.04317;0.003775;42186.22344;0.009968;121479.0753;1;1;1;1;0
Q07817;BCL2L1;1;1;1;1;40.77;1;73.63605025;26.93144723;1;0.274;19.3;0.28;21.9;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;0;0;17;0;0;7;0;0;15;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0.381415;9416.184313;0.217898;24527.1748;9.59049;18514.32779;8.137781;51550.04317;0.05427;42141.15383;0.009968;121479.0753;1;1;1;1;1
P55957;BID;1;1;1;1;38.97;1;62.45272563;17.97534069;1;0.366;17.9;0.31;15.9;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;1;0;7;0;16;1;0;1;2;0;2;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0.235386;10605.13745;0.217898;24527.1748;7.031298;7767.49347;8.137781;51550.04317;11.04158;19870.78588;0.009968;121479.0753;0;0;0;0;0
Q13323;BIK;1;1;0;0;0;1;62.54289798;23.40764331;1;0.17;8.8;0.217;17.5;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;0;0;1;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.024769;700.471049;0.217898;24527.1748;0.000113;0;8.137781;51550.04317;0;0;0.009968;121479.0753;1;0;1;0;0
O43521;BIM;1;1;1;1;55.56;1;61.00836754;33.7403599;1;0.539;48.5;0.477;42.4;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;1;1;0;6;5;6;2;0;0;5;2;3;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0.301521;2788.902399;0.217898;24527.1748;5.227356;6853.185671;8.137781;51550.04317;0.004921;1604.411239;0.009968;121479.0753;1;1;1;1;1
Q96LC9;Bmf;1;1;0;0;0;1;63.28545396;28.20512821;1;0.426;41.8;0.387;33.7;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;0;0;1;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.005236;1238.64661;0.217898;24527.1748;0.000026;49.33407;8.137781;51550.04317;0;0;0.009968;121479.0753;1;1;0;0;0
Q12983;BNIP3;1;1;1;1;5.02;1;60.59187619;30.57259714;1;0.535;60.3;0.442;41.2;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;1;0;1;0;3;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0.000081;1268.246316;0.217898;24527.1748;0.045156;0;8.137781;51550.04317;0.000241;807.863554;0.009968;121479.0753;1;0;1;1;0
O60238;BNIP3L;1;0;1;0;0;1;61.28475027;30;1;0.623;67.1;0.541;63;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;0;1;0;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.000198;1370.078451;0.217898;24527.1748;0;0;8.137781;51550.04317;0;6.576747;0.009968;121479.0753;1;0;0;0;0
P42574;CASP3;1;1;1;1;15.16;1;86.35735764;14.67931346;1;0.238;11.9;0.214;4.7;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;1;0;7;0;10;0;0;4;3;0;6;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;5.358575;37922.19004;0.217898;24527.1748;1.654857;53611.02222;8.137781;51550.04317;1.42564;186204.4604;0.009968;121479.0753;1;1;1;1;0
P10606;CYTOCHROMEC;1;0;0;0;0;1;85.69270651;2.403343783;1;0.4;31.8;0.369;30.2;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.05729;2084.151171;0.217898;24527.1748;0;0;8.137781;51550.04317;0;0;0.009968;121479.0753;1;0;0;0;0
O00198;Hrk;1;1;0;0;0;1;73.02966725;3.323699422;1;0.224;6.6;0.242;4.4;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0.059053;1824.767145;0.217898;24527.1748;0.000346;10.677624;8.137781;51550.04317;0;0;0.009968;121479.0753;1;0;0;1;0
P45983;JNK;1;1;1;0;0;1;83.65007691;14.41654357;1;0.251;17.1;0.227;18.5;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;1;0;0;6;3;0;0;0;0;5;2;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0.37145;26384.63174;0.217898;24527.1748;62.375906;211114.0814;8.137781;51550.04317;0.596057;299275.5364;0.009968;121479.0753;1;1;1;1;0
Q02750;MEK1;1;1;1;0;0;1;83.71248342;11.74540682;1;0.321;14.2;0.287;17.3;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.405839;36439.22045;0.217898;24527.1748;0.773161;38830.88503;8.137781;51550.04317;0.07588;42613.05643;0.009968;121479.0753;1;0;1;1;0
Q13794;Noxa;1;1;1;0;0;1;82.91014229;1.895734597;1;0.416;35.2;0.407;35.2;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;1;0;4;0;1;2;0;0;4;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0.190861;546.126219;0.217898;24527.1748;0.000008;0;8.137781;51550.04317;0.000493;304.694207;0.009968;121479.0753;1;1;1;1;0
P22736;NUR77;1;1;1;0;0;1;66.85284471;44.05733186;1;0.32;32.9;0.317;32.1;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;1;0;1;0;8;0;0;0;0;0;6;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0.000477;189.398267;0.217898;24527.1748;0.201249;337.274612;8.137781;51550.04317;0.015836;10558.21261;0.009968;121479.0753;1;0;1;1;0
P04637;TP53;1;1;1;1;87.79;1;75.12907204;30.16339869;1;0.569;50.4;0.469;42.7;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;1;0;0;9;9;0;1;0;0;3;5;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;2.410452;26300.88135;0.217898;24527.1748;134.672088;401923.7896;8.137781;51550.04317;2.871288;1287261.481;0.009968;121479.0753;1;1;1;1;1
Q13362;PPP2R5C;1;1;1;0;0;1;85.04129912;13.22333256;1;0.208;12;0.202;14.9;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;1;0;2;0;5;0;0;0;1;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.05284;5222.546739;0.217898;24527.1748;0.107317;551.683392;8.137781;51550.04317;0.441965;15984.40943;0.009968;121479.0753;1;0;1;0;0
Q96PG8;Puma;1;0;1;0;0;1;48.77217076;55.99140247;1;0.839;92;0.666;88.5;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;0;1;0;1;0;1;0;3;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0.174178;505.874631;0.217898;24527.1748;0;0;8.137781;51550.04317;0.000458;1713.883671;0.009968;121479.0753;0;0;0;0;0
Q99638;RAD9;1;1;1;0;0;1;76.95814872;29.32708403;1;0.343;31.2;0.301;32;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.000302;240.661256;0.217898;24527.1748;0.026222;7466.381744;8.137781;51550.04317;0.099368;3862.581109;0.009968;121479.0753;0;0;0;0;0
P17405;SMPD1;1;1;1;1;14.1;1;88.39824664;12.81635959;1;0.182;4.6;0.179;7;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.001798;1283.186096;0.217898;24527.1748;0.000006;0;8.137781;51550.04317;0.020455;4307.834285;0.009968;121479.0753;1;0;0;0;0
P63096;GNAI1;1;1;1;0;0;1;93.96910308;0.706214689;1;0.148;0.3;0.161;3.1;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001817;3786.081865;0.002912;1073.50455;4.433081;232091.6075;0.273997;17983.59937;0.448115;169138.5308;3.155329;37800.27514;1;0;0;0;0
Q02750;MEK1;1;1;1;0;0;1;83.71248342;11.74540682;1;0.321;14.2;0.287;17.3;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;1;1;1;0;1;2;29;0;2;9;0;1;10;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0.405839;36439.22045;0.002912;1073.50455;0.773161;38830.88503;0.273997;17983.59937;0.07588;42613.05643;3.155329;37800.27514;1;0;1;1;1
P36507;MEK2;1;1;1;0;0;1;82.94490892;14.8670298;1;0.34;14.8;0.301;17.8;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;1;1;1;0;1;2;24;0;2;7;0;2;10;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0.009856;1046.85429;0.002912;1073.50455;5.269041;998.133173;0.273997;17983.59937;0.024399;12584.3876;3.155329;37800.27514;1;0;0;0;0
P17612;PKA;1;1;1;0;0;1;95.82370125;0.661559889;1;0.157;2.3;0.184;4.6;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;1;0;1;0;2;0;10;0;0;0;1;0;7;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0.623979;48878.5344;0.002912;1073.50455;305.818749;865417.8223;0.273997;17983.59937;1.263752;1471446.721;3.155329;37800.27514;1;0;1;1;0
P63000;RAC1;1;1;1;1;7.29;1;93.69618852;0.597609562;1;0.162;0;0.168;3.6;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.319446;43236.32298;0.002912;1073.50455;40.142799;191443.5461;0.273997;17983.59937;1.981119;838744.7539;3.155329;37800.27514;1;1;1;1;1
Q9NYB0;RAP1;1;0;1;0;0;1;72.29531513;29.38906752;1;0.56;53.1;0.473;38.6;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000835;3546.206057;0.002912;1073.50455;0;0;0.273997;17983.59937;1.133806;2283.388876;3.155329;37800.27514;0;1;0;0;0
P62834;RAP1A;1;1;1;0;0;1;92.45334485;0;1;0.188;0;0.199;6.5;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;1;0;1;0;1;0;11;0;0;2;0;0;4;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000125;311.490874;0.002912;1073.50455;0.306053;5648.460519;0.273997;17983.59937;0.010067;77106.70366;3.155329;37800.27514;1;0;0;1;0
P07948;LYN;1;1;1;1;12.11;1;83.72669978;14.18525703;1;0.239;11.7;0.235;13.9;0;0;Q06187;BTK;1;1;1;1;0;0;0;84.98775136;6.557377049;0.246;10.5;0.224;9.9;1;1;1;1;1;1;1;0;1;2;61;0;0;48;0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0.000735;1510.02932;0.000101;241.087343;29.131761;27720.7776;62.859935;13201.72939;0.328734;131827.0082;0.03038;35918.60171;1;1;1;0;0
P19174;PLCG1;1;1;1;0;0;1;83.34171031;11.14722753;1;0.261;5.7;0.244;8.4;0;0;Q06187;BTK;1;1;1;1;0;0;0;84.98775136;6.557377049;0.246;10.5;0.224;9.9;1;1;1;1;1;0;1;0;1;0;122;0;0;103;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0.155875;21132.21127;0.000101;241.087343;168.691764;44891.5677;62.859935;13201.72939;0.01662;7530.865299;0.03038;35918.60171;1;0;1;1;0
P07948;LYN;1;1;1;1;12.11;1;83.72669978;14.18525703;1;0.239;11.7;0.235;13.9;0;0;P15391;CD19;1;1;1;0;1;1;2.7;63.28155888;42.96003717;0.494;47.7;0.457;46.4;1;1;1;1;1;0;1;0;2;0;13;0;0;1;0;0;2;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0.000735;1510.02932;0.000013;8.005083;29.131761;27720.7776;0.229134;790.841148;0.328734;131827.0082;0.001291;1238.811485;1;1;1;0;0
P27986;PIK3R1;1;1;1;1;1.93;1;83.78741892;8.111318513;1;0.347;13.4;0.289;15.6;0;0;P15391;CD19;1;1;1;0;1;1;2.7;63.28155888;42.96003717;0.494;47.7;0.457;46.4;1;1;1;1;1;0;1;0;1;0;15;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0.000215;762.399806;0.000013;8.005083;109.596942;48738.69735;0.229134;790.841148;0.226718;152814.2476;0.001291;1238.811485;1;1;1;1;0
P15498;VAV;1;1;1;1;3.79;1;87.14541547;4.791546034;1;0.23;4.3;0.219;10.2;0;0;P15391;CD19;1;1;1;0;1;1;2.7;63.28155888;42.96003717;0.494;47.7;0.457;46.4;1;1;1;1;1;1;1;0;1;1;15;0;0;4;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0.010808;5876.132601;0.000013;8.005083;3.72534;20414.4818;0.229134;790.841148;0.072829;33610.74605;0.001291;1238.811485;1;1;1;0;0
